X,Y,institucio,num,tiponombre,domicilio,barrioloca,latitudy,longitudx,icon_url
-58.3342303,-34.6568449,Religiosa,,Iglesia Católica San Martín de Porres,Galileo Galilei y Sargento Ponce,Villa Inflamable,-34.656844900000003,-58.334230300000002,./4.png
-58.3350776,-34.6626218,Religiosa,,Iglesia de Justicia y Verdad,Ocantos entre Malabia y Larroque,Villa Inflamable,-34.662621799999997,-58.335077599999998,./4.png
-58.3362321,-34.6626169,Religiosa,,Iglesia Evangélica,Larroque y Ocantos,Villa Inflamable,-34.662616900000003,-58.336232099999997,./4.png
-58.3493822,-34.6484126,Religiosa,,Sagrado Corazón de Jesús,Manuel Estévez 1235,Dock Sud,-34.648412600000000,-58.349382200000001,./4.png
-58.3464067,-34.6633288,Religiosa,,Santa Catalina de Siena,Debenedetti 2597,Dock Sud,-34.663328800000002,-58.346406700000003,./4.png
-58.3537186,-34.654033,Religiosa,,Inmaculada Corazón de María,25 de Mayo y Figuero B° Las Torres,Dock Sud,-34.654032999999998,-58.353718600000001,./4.png
-58.3480612,-34.6462924,Religiosa,,Comunidades Hermanas Dominicanas de la Unión Santo Tomás de Aquino,Sgto. Ponce 800,Dock Sud,-34.646292400000000,-58.348061199999997,./4.png
-58.3492503,-34.654047,Religiosa,,Comunidades Hijas de la caridad de San Vicente de Paul de Zagreb,25 de Mayo 1262,Dock Sud,-34.654046999999998,-58.349250300000001,./4.png
-58.3458734,-34.6553934,Seguridad,,Comisaría 3ra.,Debenedetti y Huergo,,-34.655393400000001,-58.345873400000002,./5.png
-58.3530313,-34.6541417,Seguridad,,Policia local de Avellaneda delegación Dock Sud,25 de Mayo 961,,-34.654141699999997,-58.353031299999998,./5.png
0,0,,,,,,,,
-58.3441007652279,-34.6583562293784,,,,,,,,
-58.33735859298,-34.6591307823151,Org. Civil,,Asociación Civil Sembrando Juntos y Centro de Acción Legal Comunitaria,Génova 2030,Villa Inflamable,-34.659234900000001,-58.340044100000000,./2.png
